Unnamed: 0,shoporder,Model,Blade Activation,Bleeding Ink,Continuity Fail,Creases,Device Key Not Reading,Electrode Continuity,Exposed Wire (Static),Front Stops Not Touching,Fuse Switch,High Jaw Force,High Jaw Force ,High Jaw Gap,Incorrect Insulation Orientation,Insulation Damage,Jaw Isolation,Jaw Short,Knob Rotation,Low Jaw Force,Low Jaw Gap,Misaligned ,QC- Particulate Matter,Scratches,Stuck Blade,Tears,Trigger Actuation,Trigger Retraction,Unparallel Logos,Wrinkles
187,1490526,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,1486760,EB210,7,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,2,0,0,0
202,1488029,EB210,3,0,0,0,0,7,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0
205,1488035,EB210,12,0,0,0,0,3,0,1,0,0,0,0,0,4,0,1,0,4,1,0,0,0,0,0,3,0,0,0
212,1493747,EB210,5,0,0,0,0,4,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,3,0,0,0
213,1493746,EB210,8,0,0,0,0,4,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,3,0,0,0
222,1495287,EB210,18,0,0,0,0,2,0,0,0,0,0,1,0,4,0,3,0,0,1,0,1,0,0,0,28,0,0,0
227,1495284,EB210,3,0,0,0,0,6,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,43,0,0,0
228,1498652,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,1495285,EB210,4,0,0,0,0,1,0,0,0,0,0,0,0,12,0,3,0,0,1,0,0,3,0,0,29,0,4,1
234,1493550,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,1493522,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,1493527,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,1499986,EB210,19,0,3,0,0,0,0,1,0,4,0,0,0,11,0,2,0,0,2,0,0,1,0,0,0,88,0,0
245,1500221,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,1501098,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,1501544,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,1463638,EB210,5,0,0,0,0,1,0,0,0,0,0,11,0,2,0,5,0,0,1,0,0,1,0,0,5,0,0,0
257,1502597,EB210,4,0,0,0,0,15,0,2,0,0,0,0,0,8,0,2,0,0,0,0,1,1,0,0,1,0,0,0
273,1503677,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,1503807,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,1506356,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,1494322,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,1507045,EB210,3,0,0,0,2,5,0,2,0,0,0,0,0,10,0,0,0,1,0,0,0,1,0,0,5,0,0,0
287,1507983,EB210,3,0,0,0,2,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0
305,1511362,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,1434818,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,1435922,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,1435923,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,1440964,EB210,5,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
330,1441292,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
338,1439669,EB210,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
340,1437068,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,1437057,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,1437056,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,1437058,EB210,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,1442459,EB210,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
352,1437059,EB210,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,3,0,0,0
353,1437066,EB210,16,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
355,1442985,EB210,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
359,1437067,EB210,6,0,0,0,0,0,0,0,0,0,6,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
360,1442986,EB210,7,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
369,1437065,EB210,2,0,0,0,0,1,0,0,0,0,27,3,0,1,0,0,7,0,0,0,0,0,0,0,6,0,0,0
371,1442987,EB210,2,0,0,0,0,1,0,0,1,0,0,22,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
374,1443666,EB210,1,0,0,0,0,1,0,0,1,0,0,5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
384,1445603,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,1444902,EB210,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
392,1445220,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,1446694,EB210,2,0,0,0,0,0,0,1,0,0,0,56,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0
402,1448011,EB210,6,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
407,1448012,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,1449476,EB210,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,2,0,0,0,0,0,0,0,3,5,0,0,0
429,1450728,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,1450275,EB210,1,0,0,0,0,2,0,3,0,0,0,33,0,1,0,0,0,0,0,0,0,1,0,0,7,0,0,0
441,1450727,EB210,4,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
457,1454653,EB210,2,0,0,0,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,0,0,2,0,0,4,0,0,0
464,1454449,EB210,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0
465,1454643,EB210,6,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,19,0,0,0
477,1454644,EB210,9,0,0,0,0,0,0,3,1,0,0,9,0,5,0,2,0,0,0,0,0,0,0,0,5,0,3,0
481,1456546,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,1457675,EB210,5,0,0,0,0,2,0,0,1,0,0,13,0,0,0,1,40,1,0,0,0,0,0,0,15,0,0,0
486,1457677,EB210,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
487,1422347,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,1458769,EB210,2,0,0,0,0,0,0,1,0,0,2,10,0,4,0,0,2,5,0,0,0,0,0,0,1,0,1,0
509,1458386,EB210,1,0,0,0,0,0,0,1,0,0,0,46,0,1,0,2,1,2,0,0,0,1,0,0,12,0,0,0
512,1460060,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,1427897,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529,1458785,EB210,1,0,0,1,0,0,0,4,0,0,0,8,0,5,0,1,0,1,3,0,0,0,0,0,0,0,0,0
534,1462984,EB210,4,0,0,0,0,2,0,0,0,0,0,9,0,2,0,0,0,1,1,0,0,3,0,0,0,0,0,0
537,1463002,EB210,1,0,0,0,0,1,0,0,0,0,0,44,0,3,0,1,0,0,6,0,0,0,0,2,9,0,0,0
545,1463000,EB210,0,0,0,0,0,1,0,0,0,0,0,2,0,41,0,0,0,8,0,0,0,0,0,0,65,0,22,0
548,1465341,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,1463003,EB210,1,0,0,0,0,2,0,0,0,0,0,3,0,92,0,0,0,7,2,0,0,5,0,0,22,0,0,0
564,1465358,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,1463004,EB210,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
568,1467267,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,1469669,EB210,0,0,0,0,0,3,0,3,0,0,0,2,0,20,0,1,0,0,2,0,0,3,0,0,0,0,0,0
571,1469685,EB210,2,0,0,0,0,2,0,5,0,0,0,3,0,5,0,0,0,0,0,0,0,4,0,0,4,0,0,0
572,1469840,EB210,5,0,0,0,0,2,0,3,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
577,1470746,EB210,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
579,1469719,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,1471164,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,1471170,EB210,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
592,1469633,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,1461013,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
