,shoporder,Blade Activation,Continuity Fail,Device Key Not Reading,Electrode Continuity,Exposed Wire (Static),Front Stops Not Touching,Fuse Switch,High Jaw Force ,High Jaw Gap,Incorrect Insulation Orientation,Insulation Damage,Jaw Short,Low Jaw Force,Low Jaw Gap,Misaligned ,QC- Particulate Matter,Scratches,Stuck Blade,Trigger Actuation,Trigger Retraction
29,1524592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1523562,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1524588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1524265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1523561,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
34,1524587,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1522861,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
36,1520624,0,0,0,12,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0
37,1520623,4,0,0,7,0,0,1,0,0,0,6,0,1,0,0,0,1,0,0,0
38,1522860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1519737,11,0,0,6,0,4,0,3,0,0,8,2,0,8,0,0,17,0,0,0
40,1519738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1519748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,1519769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1519717,2,0,0,2,0,2,0,0,0,0,11,1,0,0,0,15,0,0,2,0
44,1518413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1519724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1519768,2,0,0,1,0,0,0,13,0,0,1,0,0,3,0,0,5,0,0,0
47,1522868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1522508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1522813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1520635,9,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,1,0,1,0
51,1521801,8,0,0,6,0,7,0,0,0,0,7,1,0,0,0,0,4,0,20,0
52,1519739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1524591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1525034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1526573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1521800,3,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,3,0,4,0
57,1526543,0,7,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0
58,1524590,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
59,1523580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1528174,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
