Unnamed: 0,shoporder,Model,Assembly Error,Contamination,Continuity Fail,Cosmetic Defect,"Cracks, Splits, or Chips",Damaged Harness Cable,Defective Components,Device Key Not Reading Device,Discolored Component,Engineering Sample,Exposed Wire (Dynamic),Failed Trigger Gauge,Failure to Unlock Trigger,Front Stops Not Touching,Front and Middle Stops Not Touching,Fuse Switch,High Jaw Force,High Jaw Gap,Incorrect Configuration,Incorrect Insulation Orientation,Incorrect/Missing Weld,Insulation Damage,Jaw Short,Low Jaw Force,Low Jaw Gap,Material Underissue,Middle Stops Not Touching,Open Handle,Particulate Matter,Rough Blade,Rough Jaw Actuation,Rough Knob Rotation,Scratches,Stuck Blade,Trigger Retraction,Vertical Misalignment,Wire Exposure
48,1522508,EB216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1522813,EB215,0,0,7,2,0,1,0,0,0,0,0,0,0,0,1,0,8,8,4,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0
50,1520635,EB217,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
51,1521801,EB211,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,9,0,0,2,0,0,0
52,1519739,EB215,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,1,9,0,0,0,0,0,0,0,2,1,0,0,1
53,1524591,EB213,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1525034,EB215,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1526573,EB212,0,2,19,1,0,0,0,0,0,0,0,0,0,0,0,7,0,2,1,0,0,1,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0
56,1521800,EB210,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0
57,1526543,EB215,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0
58,1524590,EB215,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1523580,EB211,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
60,1528174,EB217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
